Id2,totalGroup1,totalGroup2,percent_bachelorPlus,meanvalence,households_meanIncome
6037119900,2700,473,17.3,5.734530467,72998
6037120103,1951,35,5,5.609668089,30347
6037120104,1289,179,16.4,5.71116179,43756
6037120105,1586,196,13.7,5.832621842,42067
6037120106,2601,94,10.4,5.837030125,37108
6037120107,2368,85,5.1,5.868200877,37589
6037120108,3234,259,9.9,5.817959984,44769
6037120300,2482,984,20.7,5.848277331,69603
6037120400,3161,944,21,5.785207758,50696
6037121010,2001,1019,22.4,5.780610251,61492
6037121020,1641,916,20,5.609341029,72121
6037121101,1456,613,17.4,5.650773619,58797
6037121102,1115,831,23.2,5.768373475,80611
6037121210,1820,285,18.5,5.756098948,64551
6037121221,1538,195,11.7,5.876588791,67634
6037121222,3053,231,5.6,5.797049412,54049
6037121600,822,913,28.2,5.952009566,94600
6037121801,1650,525,14.5,5.860474485,38347
6037121802,1663,755,13,5.747297293,62193
6037121900,2823,607,13,5.786473131,59309
6037122000,2325,2195,21,5.842376342,73858
6037122120,3209,439,10.5,5.814443008,65714
6037122121,1711,191,13,5.807924758,52485
6037122122,1505,238,4.5,5.845871869,42826
6037122200,2728,334,7.7,5.749590299,65357
6037122410,2171,471,10.5,5.786828368,35448
6037122420,2735,481,17.5,5.939708963,54194
6037123010,2761,346,7.3,5.907131638,49239
6037123020,2477,229,10.2,6.009939683,65918
6037123103,1849,962,27.1,5.772383816,52986
6037123104,2522,667,16.5,5.759440071,54457
6037123203,2040,462,5.8,5.886989264,40221
6037123204,1806,535,11.5,5.81337901,45332
6037123205,1593,310,12.7,5.727453796,51608
6037123206,1876,283,9.8,5.82474468,45625
6037123301,1447,1125,28.7,5.865496976,66704
6037123303,1371,946,21,5.885139803,50999
6037123304,1529,1844,31,5.833314159,45367
6037123410,1748,1312,21.8,5.810338145,53725
6037123420,1802,1255,19.9,5.883168281,55449
6037123510,1663,1740,20.6,5.838233659,57641
6037123520,938,751,35,5.731501129,51670
6037123601,1761,2586,29.4,5.819056333,68641
6037123602,1081,1609,32.6,5.939660941,66655
6037123700,380,2407,33.8,5.770531497,67444
6037123800,1117,2604,32.3,5.774266099,62898
6037123901,1761,1411,23.9,5.872067197,62063
6037123902,582,1245,45.6,5.793990137,80402
6037124000,613,2937,62,5.99169801,108814
6037124102,1254,1207,39.8,5.728472654,63648
6037124103,1238,202,14.4,5.896868451,54754
6037124104,1210,680,22.9,5.796892388,46811
6037124105,1209,725,25.9,5.84047332,50554
6037124201,1545,827,20.3,5.788607857,66697
6037124203,1564,481,9.8,5.968485353,51936
6037124204,1158,738,19.6,6.0169064,45021
6037124300,1888,850,14.5,5.850269337,52324
6037124400,660,2389,43.1,5.831059851,84105
6037124500,662,1635,41.7,5.983355086,94183
6037124600,367,1911,50.6,5.908750295,97375
6037124700,701,2967,51.6,5.949210842,98796
6037124902,716,1391,38.2,5.856314182,57417
6037124903,695,1975,38.4,6.024688621,51287
6037125100,1114,3017,46,5.936765432,93546
6037125200,1122,1485,41.3,5.942158948,78150
6037125310,1594,1583,35.8,5.857651218,57588
6037125320,1596,2635,41.3,5.840457949,54322
6037125401,809,1536,47.5,5.87334685,66524
6037125402,858,2088,52.7,5.867568484,81298
6037125501,840,1576,41.2,5.882202557,68682
6037125502,559,1845,44.7,5.929683051,56857
6037125600,223,1565,54.6,6.035026237,98402
6037127102,2315,1223,19,5.769713193,55452
6037127103,1545,576,22.1,5.922960642,52654
6037127104,1748,955,20.4,5.756059815,63233
6037127210,2417,1114,22.1,5.893422683,58017
6037127220,2536,638,17.6,5.759427634,40504
6037127300,1663,1162,27.3,5.81215063,54590
6037127400,3268,844,11.8,5.743325147,46694
6037127520,2236,107,12.6,5.9620635,35435
6037127603,1750,298,13.5,5.708808183,51167
6037127604,909,660,30.6,5.841710258,38890
6037127605,2167,364,16.4,5.82268112,64852
6037127606,1855,633,21,5.827151046,70172
6037127711,1332,1061,34.2,6.042800111,102303
6037127712,1419,839,21,5.791503712,46298
6037127803,1860,829,16.7,5.870173358,52668
6037127804,1463,1144,27.7,5.699343691,51672
6037127805,2029,687,19.2,5.892434573,56489
6037127806,1660,716,20.3,5.719826021,41254
6037127910,2385,987,14.4,5.81166479,43842
6037127920,1568,1225,17.2,6.010534734,63404
6037128101,1296,1151,27.8,5.582136191,73057
6037128102,2446,677,10.3,5.933592699,45075
6037128210,3276,354,10,5.685013777,38278
6037128220,1039,968,32.4,5.962902266,67346
6037128302,3031,696,15.2,5.731984442,47438
6037128303,1975,226,7.4,5.809521986,33477
6037128400,983,1949,42.4,5.712260953,80305
6037128500,723,2305,48.1,5.851448646,74402
6037128601,1606,1487,27.7,5.847177364,56305
6037128602,373,1947,45.7,5.993434664,97644
6037128702,693,3292,48.1,5.832188572,109513
6037128801,506,1779,54.6,5.986279413,78361
6037128802,760,2649,59.1,5.893059742,96037
6037128910,235,2584,54.9,5.754280969,103408
6037131010,2834,1089,18.1,5.764929631,54540
6037131020,2887,876,18.1,5.783286936,63285
6037131100,942,1273,30.5,5.840389076,84096
6037131200,992,987,30.4,5.703498103,87662
6037131300,2394,1158,14.9,5.8437599,68800
6037131400,1986,1569,28.5,5.862752741,70796
6037131600,2094,1526,24.7,5.799849827,85715
